"","HDI_rank","Country","HDI_1990","HDI_2000","HDI_2015","HDI_2022","HDI_Bin_1990","HDI_Bin_2000","HDI_Bin_2015","HDI_Bin_2022"
"1","HDI rank","Country",1990,2000,2015,2022,"Very High","Very High","Very High","Very High"
"2","1","Switzerland",0.85,0.885,0.952,0.967,"Very High","Very High","Very High","Very High"
"3","2","Norway",0.845,0.914,0.952,0.966,"Very High","Very High","Very High","Very High"
"4","3","Iceland",0.834,0.895,0.948,0.959,"Very High","Very High","Very High","Very High"
"5","4","Hong Kong, China (SAR)",0.739,0.831,0.936,0.956,"High","Very High","Very High","Very High"
"6","5","Denmark",0.839,0.89,0.936,0.952,"Very High","Very High","Very High","Very High"
"7","5","Sweden",0.808,0.903,0.937,0.952,"Very High","Very High","Very High","Very High"
"8","7","Germany",0.828,0.89,0.941,0.95,"Very High","Very High","Very High","Very High"
"9","7","Ireland",0.743,0.851,0.924,0.95,"High","Very High","Very High","Very High"
"10","9","Singapore",0.78,0.863,0.935,0.949,"High","Very High","Very High","Very High"
"11","10","Australia",0.864,0.896,0.933,0.946,"Very High","Very High","Very High","Very High"
"12","10","Netherlands",0.847,0.892,0.932,0.946,"Very High","Very High","Very High","Very High"
"13","12","Belgium",0.814,0.884,0.924,0.942,"Very High","Very High","Very High","Very High"
"14","12","Finland",0.811,0.887,0.93,0.942,"Very High","Very High","Very High","Very High"
"15","12","Liechtenstein",NA,0.871,0.926,0.942,NA,"Very High","Very High","Very High"
"16","15","United Kingdom",0.804,0.863,0.923,0.94,"Very High","Very High","Very High","Very High"
"17","16","New Zealand",0.812,0.894,0.933,0.939,"Very High","Very High","Very High","Very High"
"18","17","United Arab Emirates",0.717,0.79,0.86,0.937,"High","High","Very High","Very High"
"19","18","Canada",0.861,0.89,0.927,0.935,"Very High","Very High","Very High","Very High"
"20","19","Korea (Republic of)",0.731,0.824,0.908,0.929,"High","Very High","Very High","Very High"
"21","20","Luxembourg",0.793,0.864,0.914,0.927,"High","Very High","Very High","Very High"
"22","20","United States",0.875,0.894,0.924,0.927,"Very High","Very High","Very High","Very High"
"23","22","Austria",0.823,0.87,0.91,0.926,"Very High","Very High","Very High","Very High"
"24","22","Slovenia",NA,0.823,0.903,0.926,NA,"Very High","Very High","Very High"
"25","24","Japan",0.846,0.883,0.913,0.92,"Very High","Very High","Very High","Very High"
"26","25","Israel",0.781,0.835,0.899,0.915,"High","Very High","Very High","Very High"
"27","25","Malta",0.726,0.779,0.887,0.915,"High","High","Very High","Very High"
"28","27","Spain",0.762,0.828,0.889,0.911,"High","Very High","Very High","Very High"
"29","28","France",0.79,0.844,0.893,0.91,"High","Very High","Very High","Very High"
"30","29","Cyprus",0.733,0.797,0.874,0.907,"High","High","Very High","Very High"
"31","30","Italy",0.78,0.842,0.881,0.906,"High","Very High","Very High","Very High"
"32","31","Estonia",0.741,0.798,0.883,0.899,"High","High","Very High","Very High"
"33","32","Czechia",0.748,0.81,0.891,0.895,"High","Very High","Very High","Very High"
"34","33","Greece",0.762,0.818,0.881,0.893,"High","Very High","Very High","Very High"
"35","34","Bahrain",0.733,0.775,0.859,0.888,"High","High","Very High","Very High"
"36","35","Andorra",NA,0.815,0.856,0.884,NA,"Very High","Very High","Very High"
"37","36","Poland",0.715,0.794,0.869,0.881,"High","High","Very High","Very High"
"38","37","Latvia",0.732,0.761,0.853,0.879,"High","High","Very High","Very High"
"39","37","Lithuania",0.74,0.769,0.865,0.879,"High","High","Very High","Very High"
"40","39","Croatia",NA,0.764,0.844,0.878,NA,"High","Very High","Very High"
"41","40","Qatar",0.764,0.793,0.852,0.875,"High","High","Very High","Very High"
